RagaID,RagaName,Mu,Sigma
1,(Miyaki)TodiR,28.658174587722467,7.362591680974839
2,Aarabhi,40.426609698182645,10.355870123164562
3,Abheri,28.04821288081131,8.186223077412901
4,Abhogi,35.21136520998862,10.10339923803462
5,AbhogiKanhada,36.953234544344134,10.043064415400787
6,Adana,35.879669321701456,10.338326206948896
7,AhirBhairav,39.847296181751176,10.839292898845613
8,AhirLalit,32.16115253782616,9.195428054087023
9,Ahiri,35.828222409579695,9.873865676137974
10,AlhaiyaBilaval,30.63114710097445,8.70236266494769
11,Amravati,32.9940219307924,10.083477013028892
12,Amritavarshini,33.14551464269917,9.182443195271452
13,AnandBhairav,35.26717599274091,9.78738187029485
14,AnandBhairaviR,30.31982998816334,7.845968366950436
15,AnandLeela,31.751662010141523,8.42029192695046
16,AnjaniTodiR,38.27433017571384,10.427479452263425
17,Araj,28.658174587722467,7.362591680974839
18,Asa,33.75286844983845,9.573250748172741
19,AsaTodiR,34.86798078713787,10.362629534492532
20,AsavariR,34.02772831701657,10.004019994533161
21,AsavariTodiR,32.11782787227791,8.191884086072102
22,Asavarisindhura,31.384820220740785,8.926227157244803
23,Badhans,29.224153243585715,8.407300681222681
24,BadhansSarang,31.282529345370268,8.465914119595404
25,Bageshri,31.39001941540235,8.571613915092158
26,Bahar,30.81046519619304,8.407573576396716
27,BaharBageshree,34.83644694423065,9.652848080665358
28,Baharbasanth,28.791788810185906,7.617607504565616
29,Balihari,33.74755326370978,9.818707927561173
30,Bangalbhairav,37.049404515956994,9.94006930692217
31,Barari,30.87428443562935,8.215245221927034
32,Barva,38.46041024488826,9.549876751927828
33,Basant,35.958063158745084,10.718498654861795
34,BasantLeela,36.68834163244965,10.08030534112638
35,BasantMukhari,35.65430639379243,9.716901943854447
36,BasantiKedar,28.658174587722467,7.362591680974839
37,Bengali,34.87902608643683,8.97294252499596
38,BhairavR,34.5058660945422,9.576163429886849
39,BhairaviR,35.068441785379186,9.757390275080102
40,BhairaviRBahar,36.69696604251762,9.606742789508557
41,Bhankar,35.57126624012712,9.755775167168741
42,Bhatiyar,31.82256462764846,9.039438357167775
43,Bhim,31.24958518458275,8.406990028834207
44,Bhimpalasi,27.824575958006204,8.101714305892395
45,BhinnaShadaj,31.246897716609443,8.322247279990902
46,BhogLeela,31.186954332696864,8.34906773884841
47,Bhogi,36.895284400090866,9.505336616105048
48,Bholamukhi,33.21611621276487,10.014965371009287
49,Bhoopal-TodiR,24.506272138089585,6.541510910265911
50,Bhoopali,36.207088768114005,10.37323301237453
51,Bhujang,24.506272138089585,6.541510910265911
52,Bhup,33.21611621276487,10.014965371009287
53,BhupalTodiR,34.49597158466514,10.471134950759302
54,Bibhas,37.049404515956994,9.94006930692217
55,BibhasM,32.812444273872124,8.772146815358171
56,Bihag,32.01405009007729,8.490507346883186
57,Bihagda,34.03969187719966,9.576106252764099
58,BilaskhaniTodiR,31.384820220740785,8.926227157244803
59,BrindabaniSarang,28.791788810185906,7.617607504565616
60,Chakradhar,33.45983591701764,9.442133195686242
61,ChandniKedar,33.80857029140005,9.243200540533216
62,ChandrakaBhairaviR,32.37640176952937,8.996550087669775
63,Chandrakanth,32.09392998516869,8.551122317276992
64,Chandrakauns,32.323616943959436,9.020651358231975
65,Charukeshi,31.621126695433688,8.550322518250201
66,Chhayanat,28.658174587722467,7.362591680974839
67,Chitmohini,33.998655727112,9.154763383489994
68,DarbariKanada,35.45932966589526,10.097290363214702
69,DarbariTodiR,30.55465321028464,8.480339805244046
70,DeepakB,33.39751238066261,9.942568937309256
71,DeepakKedar,36.90056244529974,10.176399294209688
72,DeepakP,32.01405009007729,8.490507346883186
73,Desh,24.506272138089585,6.541510910265911
74,Deshkar,32.11782787227791,8.191884086072102
75,Desi,28.658174587722467,7.362591680974839
76,Devagiribilaval,31.774345711897013,8.671981793004571
77,Devaranjani,32.304708627165695,8.548768584701188
78,Devgandhar,28.658174587722467,7.362591680974839
79,Devgiri,38.46041024488826,9.549876751927828
80,Dhanabasanti,30.81046519619304,8.407573576396716
81,Dhanashree,29.258173393632678,8.475565380991135
82,Dhani,24.903835017072925,7.224916550418938
83,Durga,31.738576979548224,8.237755983850322
84,Gaara,34.0406636910816,9.436593385206724
85,Gandhari,32.59078702851613,8.255185480969066
86,Gara,32.01405009007729,8.490507346883186
87,GaudMalhar,32.812444273872124,8.772146815358171
88,GaudSarang,34.87902608643683,8.97294252499596
89,GauriB,38.000966353564586,9.272958774781966
90,GauriP,30.63114710097445,8.70236266494769
91,Gavati,29.33588169193807,8.433080749144462
92,GorakhKalyan,34.14721566451862,8.698442040347087
93,Gouri,38.000966353564586,9.272958774781966
94,Gowri,38.735528293048915,9.198017513047905
95,GujariTodiR,32.92443932735393,10.387746489812956
96,Gunak(ri)ali,31.60540545698525,8.495260779027749
97,Gunjikanada,32.812444273872124,8.772146815358171
98,Hamir,26.673030620715053,7.306825140380084
99,Hamsadhwani,31.981196875656554,8.290969809015806
100,Hamsakankini,26.101645043044552,6.904670466529831
101,HemaKalyan,33.313671804195195,9.82735819179571
102,Hindol,30.81046519619304,8.407573576396716
103,HussainiKanhada,33.963639993025424,9.690107071232141
104,JagatMohini,32.01405009007729,8.490507346883186
105,Jaijaivanti,36.049495403894156,9.922366276750038
106,Jaikauns,32.812444273872124,8.772146815358171
107,Jaiminikalyan,29.391114756837585,9.58658468551743
108,Jait,24.506272138089585,6.541510910265911
109,Jaithkalyan,24.903835017072925,7.224916550418938
110,Jaladhar,30.45968113239205,9.371725970094866
111,Janasamohini,31.186954332696864,8.34906773884841
112,Jaunpuri,28.791788810185906,7.617607504565616
113,Jhankar,30.63114710097445,8.70236266494769
114,Jhinjoti,30.272217846121855,8.931929807782351
115,Jog,32.72594958071418,8.331238765712873
116,JogKauns,34.87902608643683,8.97294252499596
117,Jogiya,34.87902608643683,8.97294252499596
118,KabiriBhairav,30.81046519619304,8.407573576396716
119,KafiR,30.572892049341238,10.005322382769116
120,Kalavati,34.87902608643683,8.97294252499596
121,Kalingda,32.812444273872124,8.772146815358171
122,Kamod,34.64331195632553,9.689168765296499
123,KaunsiBhairaviR,31.726239647786542,8.301598953640527
124,KaunsiKanada,35.85485752289924,9.670522545062306
125,Kedar,30.55465321028464,8.480339805244046
126,KhamajR,29.388850116837492,8.90235888024283
127,Khambavati,30.63114710097445,8.70236266494769
128,Khambuji,31.564708345451464,8.270761877539481
129,Khat,31.14494543535698,8.199625656983162
130,Kirvani,32.01405009007729,8.490507346883186
131,Kukubh,30.770113245666145,8.154225230547562
132,Lachchha,38.72665249522887,9.011168627371989
133,Lalit,37.22725834269624,9.133100987820407
134,Lalitapancham,37.22725834269624,9.133100987820407
135,Lalitpancham,31.48035582464551,8.449299078977933
136,Lankadahansaarang,28.658174587722467,7.362591680974839
137,Maand,28.04949757700958,8.74029413531499
138,MadhmadSarang,28.04949757700958,8.74029413531499
139,Madhmadisaarang,36.76032443760594,9.556781258272153
140,Madhuvanti,29.734062996256398,10.065738423527618
141,Malashri,32.128697361739285,8.423936954873612
142,Malav,31.540642327526683,8.356168899406207
143,Malgunji,38.46041024488826,9.549876751927828
144,Maligaura,28.418595686145423,7.978848380340065
145,Malkauns,35.628619766314074,9.418743101950069
146,Maluha,37.63798089553987,10.33077972898795
147,Malwi,30.561189435822122,8.619448182419722
148,ManjhKhamajR,30.617207344025104,8.155704000483263
149,Manohariamba,32.37640176952937,8.996550087669775
150,MargBihag,36.16251489673915,8.984710533143833
151,Maru,32.4837848812351,9.050079319327992
