ID,Type,Label
269,jati,Shadav-Shadav
270,jati,Vakra
271,jati,mishra/Sankeerna
272,time,Afternoon12-3
273,time,Afternoon3-6
274,time,Aftersunset3-6
275,time,Aftersunset6-9
276,time,Anytimedayornight
277,time,Anytimeinmonsoon
278,time,Anytimeinrains/midnight
279,time,Anytimeinrainyseason
280,time,AroundMidnight12-3
281,time,AtSunset3-6
282,time,Atdaybreak
283,time,Atdaybreak3-6
284,time,Atdaybreak6-9
285,time,BeforeSunrise3-6
286,time,EarlyAfternoon12-3
287,time,EarlyMorning3-6
288,time,EarlyNight9-12
289,time,Evening6-9
290,time,Justaftersunset3-6
291,time,LateEvening3-6
292,time,LateEvening6-9
293,time,LateMorning9-12
294,time,LateNight12-3
295,time,LateNight9-12
296,time,Midnight
297,time,Monsoon
298,time,Morning/concertend6-9
299,time,Morning12-3
300,time,Morning6-9
301,time,Morning9-12
302,time,Night6-9
303,time,Night9-12
304,time,Nospecifictime
305,time,SpringSeason3-6
306,time,Sunset3-6
307,pakad,DMGrGMGrNS
308,pakad,DMPgMgRS
309,pakad,DNDPDPMmRS
310,pakad,DPmRSm
311,pakad,DSRmGPmGRSnDP
312,pakad,DSRmRnDSmDnDmRRmPmRnDS
313,pakad,DnDPMGmGR
314,pakad,DnDPmGRGRS
315,pakad,DnDmPmgmRS
316,pakad,DnSGmGmRS
317,pakad,DnsmmPDmgRS
318,pakad,GMPDPMGRS
319,pakad,GMPNDMGMGRSRS
320,pakad,GMPNSNPMPGMP
321,pakad,GNrSMGrGNrS
322,pakad,GPDNDPPGr
323,pakad,GPMdSNPGMGrS
324,pakad,GPdGPGrS
325,pakad,GRGPmGmRSSR
326,pakad,GRPDNS
327,pakad,GRgSNSRmPDmGRgS
328,pakad,GRmGPRS
329,pakad,GmDNS
330,pakad,GmGRNRNGGRNS
331,pakad,GmPDNS
332,pakad,GmPgRSNS
333,pakad,GmPgmgRS
334,pakad,GmddPGmMdMmGm
335,pakad,GmgRSNSDnSGm
336,pakad,GmnDPDmGP
337,pakad,GmnDPPmGRGmPmGRS
338,pakad,GmrGmGGMDMGGrS
339,pakad,MDNDPDMmGMGrS
340,pakad,MDNDPDMmGMrS
341,pakad,MDNSrSSNDMDG
342,pakad,MDSNDMDMGrSSmGMDNDNMD
343,pakad,MPDPmPmSRS
344,pakad,MPdndPGmRSGmP
345,pakad,MdNdMgrgrS
346,pakad,MdSNdPMGMGGMrGMGrSSmGMdNS
347,pakad,MdrSNdPMGMG
348,pakad,NDNRGGmGRNGRS
349,pakad,NDPMGMDMGrS
350,pakad,NRGMPRGmGRGRNRS
351,pakad,NRGMPRGmGRGRNS
352,pakad,NSMgMPgMgMgSNSgrS
353,pakad,NSRnDDnSNSDnSRGRSRmgRSDnDS
354,pakad,NSgmPgmgRnS
355,pakad,NdPdmMdMGrGrS
356,pakad,NrGmdmdMmGMGrS
357,pakad,NrMGPMdNdPMGMrGrS
358,pakad,PDPSRS
359,pakad,PDmPgrSrnS
360,pakad,PDnDPGRSnDS
361,pakad,PDnDmgrgS
362,pakad,PGMGRSSmGSGMP
363,pakad,PGmGRS
364,pakad,PNSRGSRPmGRSPDmPSP
365,pakad,PRGmPmGmRS
366,pakad,PdPMGmrGMGrS
367,pakad,PdPmGrSNSrGmGrGrS
368,pakad,PdndPGmRS
369,pakad,PmGmmnDPmGmRS
370,pakad,PnDNSRddnP
371,pakad,PnPmGmgrgrS
372,pakad,PnPmgRS
373,pakad,PnSDPGmRS
374,pakad,RGPRGPNPGRS
375,pakad,RGmPDGmRGNSDnR
376,pakad,RMPRmRSNPNDSNRS
377,pakad,RMPnDPmR
378,pakad,RPGmRNS
379,pakad,RPgmRSnDNS
380,pakad,RRSnSmRpmRnS
381,pakad,RmPdPgrgrSRGmPDnSRndPmPgrgrS
382,pakad,RmPdPndSndP
383,pakad,RmPnDP
384,pakad,RmPnDPDmGRGNS
385,pakad,RmPnPmRNRS
386,pakad,RnSgmPdDnPSnDP
387,pakad,SDPDSDPDGPGPDPGRSRDS
388,pakad,SDPDSRGPGPRS
389,pakad,SDPDmGPDS
390,pakad,SDmPGPGrS
391,pakad,SDnPgmRS
392,pakad,SGGmSgngS
393,pakad,SGMNDMGS
394,pakad,SGPPDPPGPGSRSSPDPSPDPGS
395,pakad,SGRSDSRG
396,pakad,SGmPGmRGmPmGmRS
397,pakad,SGmPGmdPGmPGmrS
398,pakad,SGmPPnDPmPgRS
399,pakad,SNPNDSGPGRS
400,pakad,SNdPMPdPGmGMGrS
401,pakad,SPGrGPMDSrNDPGrS
402,pakad,SPMPGS
403,pakad,SRGRGRGRPGRGSRDS
404,pakad,SRGmPdPmgRgS
405,pakad,SRGmdPGmRSRNdS
406,pakad,SRGmmRPDnPmP
407,pakad,SRGmmRPnDnPmGmRS
408,pakad,SRMPDPmRS
409,pakad,SRPgmPgmRS
410,pakad,SRRgmPmPmPmPgR
411,pakad,SRgRSdnRS
412,pakad,SRmPDPDS
413,pakad,SRmPDmPGSRPm
414,pakad,SRmnPmRmNRS
415,pakad,SdSSrddPGmrs
416,pakad,SmPgmnDNSNdSNdPMGMGMGrS
417,pakad,SmmPdNSdPmS
418,pakad,SmmPgmnDNS
419,pakad,SnDnnPmRSRg
420,pakad,SndPDDnDPmGmgS
421,pakad,SnnSSRggmRS
422,pakad,SrNDMmGmrS
423,pakad,SrNdNPdMGMGrG
424,pakad,SrPdPSNdPGPGr
425,pakad,SrdSrgrS
426,pakad,SrgPdPGSrGrG
427,pakad,SrgdSdggrS
428,pakad,SrndgPdndmgrgrS
429,pakad,dmPdmPggmrS
430,pakad,dnSmgmdgmgnS
431,pakad,gmPNDNSDPmPg
432,pakad,gmPddSrndPdndPm
433,pakad,gmgNgS
434,pakad,gmnPgRS
435,pakad,mDNSSNdm
436,pakad,mDmGSGmDNS
437,pakad,mDnDPmGRGnrS
438,pakad,mNDSNrNdPPDGMGrS
439,pakad,mPDPDmRPmRDS
440,pakad,mPDSndPDmPDS
441,pakad,mPDmPNSRnDPmGmPgRS
442,pakad,mPDnGmGRS
443,pakad,mPNSnPGmGS
444,pakad,mPdmPgRSRnSRGm
445,pakad,mPdnSndPmPgRmPdP
446,pakad,mPdrSNdPmGrS
447,pakad,mRSSdPmPPNNS
448,pakad,mdNdPmrNdPPddPm
449,pakad,mdPdmPGmrGrSrSN
450,pakad,mgRNSDNS
451,pakad,nDPDGmGRS
452,pakad,nDPDPmPGS
453,pakad,nDPGPGS
454,pakad,nDnPmPgmRS
455,pakad,nDnPmPnPmPgRS
456,pakad,nPmRmRNS
457,pakad,nSRPmRnRSmPnPmRmRSnS
458,pakad,nSgRSnDmGRS
459,pakad,nSggmPgmRS
460,pakad,nSgmPgmgRnS
461,pakad,nSgmdPgmPgmrS
462,pakad,rGmPSDnPmGmr
463,pakad,rmPddPmrrdS
464,pakad,rrPMPdMGrSMPNSrNdP
